id,state,census,estimates_base
1,.Alabama,4779736,4780118
2,.Alaska,710231,710246
3,.Arizona,6392017,6392292
4,.Arkansas,2915918,2916029
5,.California,37253956,37254522
6,.Colorado,5029196,5029319
7,.Connecticut,3574097,3574151
8,.Delaware,897934,897947
9,.District of Columbia,601723,601767
10,.Florida,18801310,18804589
11,.Georgia,9687653,9688737
12,.Hawaii,1360301,1360304
13,.Idaho,1567582,1567658
14,.Illinois,12830632,12831572
15,.Indiana,6483802,6484050
16,.Iowa,3046355,3046877
17,.Kansas,2853118,2853120
18,.Kentucky,4339367,4339330
19,.Louisiana,4533372,4533500
20,.Maine,1328361,1328354
21,.Maryland,5773552,5773787
22,.Massachusetts,6547629,6547788
23,.Michigan,9883640,9884112
24,.Minnesota,5303925,5303933
25,.Mississippi,2967297,2968129
26,.Missouri,5988927,5988941
27,.Montana,989415,989400
28,.Nebraska,1826341,1826311
29,.Nevada,2700551,2700683
30,.New Hampshire,1316470,1316457
31,.New Jersey,8791894,8791959
32,.New Mexico,2059179,2059199
33,.New York,19378102,19378117
34,.North Carolina,9535483,9535762
35,.North Dakota,672591,672575
36,.Ohio,11536504,11536763
37,.Oklahoma,3751351,3751582
38,.Oregon,3831074,3831083
39,.Pennsylvania,12702379,12702891
40,.Rhode Island,1052567,1052970
41,.South Carolina,4625364,4625358
42,.South Dakota,814180,814198
43,.Tennessee,6346105,6346281
44,.Texas,25145561,25146072
45,.Utah,2763885,2763891
46,.Vermont,625741,625727
47,.Virginia,8001024,8001046
48,.Washington,6724540,6724540
49,.West Virginia,1852994,1853008
50,.Wisconsin,5686986,5687285
51,.Wyoming,563626,563775
